"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:EZIC_CORMAN","Read quickly.","Läs fort."
"traveler:EZIC_CORMAN","Do not lose this.","Tappa inte bort detta."
"traveler:EZIC_CORMAN","You have something of mine.","Du har någonting till mig."
"traveler:EZIC_CORMAN","My name is Corman Drex.","Mitt namn är Corman Drex."
"traveler:EZIC_CORMAN","Read the note then return it to me.","Läs meddelandet och ge tillbaka det till mig."
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.","Våra agenter är redo."
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.","Vi börjar imorgon."
"traveler:EZIC_HANDLER_PRE0","Let them pass.","Låt dem passera."
"traveler:EZIC_AGENT0","The Order rises.","Ordnen reser sig."
"traveler:EZIC_AGENT0","The Order knows.","Ordnen vet."
"traveler:EZIC_AGENT1","For Arstotzka and the Order.","För Arstotzka och Ordnen."
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.","Ge mig de kodade dokumenten."
"traveler:EZIC_HANDLER_POST1","Both.","Båda."
"traveler:EZIC_HANDLER_EXT","Today.","Idag."
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.","För Arstotzka och Ordnen."
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.","De andra håller inte med, men jag tror inte mannen i rött är ett hot."
"traveler:EZIC_AGENT_EXT","@What?","@Vadå?"
"traveler:EZIC_AGENT_EXT","Nevermind.","Glöm det."
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.","Skjut för att döda."
"traveler:EZIC_DIPLO","I require my passport.","Jag kräver mitt pass."
"traveler:EZIC_DIPLO","@It has been confiscated.","@Det har konfiskerats."
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.","Jag är en Kolechiansk diplomat här på statsbegäran."
"traveler:EZIC_DIPLO","Return passport at once.","Lämna tillbaka passet omedelbart."
"traveler:EZIC_DIPLO","@Call number on slip to recover.","@Ring nummer på sedel för att få tillbaka."
"traveler:EZIC_DIPLO","Barbarian.","Barbar."
"traveler:EZIC_DIPLO","You cannot do this.","Du kan inte göra detta."
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.","Jag såg honom komma in."
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.","Ge hans pass till mig."
"traveler:EZIC_DIPLO_FOLLOW","Ah good.","Bra."
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.","Jag är väldigt lik honom."
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.","Behöver bara raka av mig mustaschen."
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.","Men vi måste alla göra uppoffringar."
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.","Godkänn visumet."
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.","För Arstotzka och Ordnen."
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.","Detta är inte vad man enades om."
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.","Jag skickades för att hämta diplomatens pass."
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.","@Jag har det inte."
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.","God morgon, inspektör."
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?","Du är frisk idag, ja?"
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.","Jag har bara få frågor till dig."
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.","Det var problem vid tunnelbana förra natten."
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.","Kanske du läste i tidning."
"traveler:SECRET_POLICE_INTRO","Is very big news.","Är väldig stor nyhet."
"traveler:SECRET_POLICE_INTRO","We think it is not accident.","Vi tror det är inte olycka."
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.","Vi tror det är orsakat av misstänkt grupp."
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.","Vi tror några medlemmar passerat denna kontroll."
"traveler:SECRET_POLICE_INTRO","So we come talk to you.","Så vi kommer och pratar med dig."
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Har du sett något sånt här?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","Är någon sort symbol för grupp."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Om du har information, du ger oss, ja?"
"traveler:SECRET_POLICE_INTRO","Yes?","Ja?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Ja."
"traveler:SECRET_POLICE_INTRO","Very good.","Mycket bra."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Lämna tillbaka min bricka och papper."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Vi tror misstänkta grupp försöker skapa problem."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Vi tror några medlemmar passerat denna kontroll."
"traveler:SECRET_POLICE_INTRO","What is this?","Vad är detta?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Intressant."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Ja, väldigt inressant."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Jag tror det är bäst du följer med mig."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Detta är mycket farlig grupp."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Om du ser någon underlig sak, rapportera omedelbart."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Hallå inspektör."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","Det är liten avvikelse med dina finanser."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","Inkomstministeriet var omtänksam nog att meddela oss."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Det är bäst att du följer med mig."
"traveler:SECRET_POLICE_FINAL","Inspector.","Inspektör."
"traveler:SECRET_POLICE_FINAL","It has been some time.","Det var ett tag sen."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Läs din bulletin noga idag."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Vi kommer prata med många arbetare."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Din revision kommer snart."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Jag kommer personligen genomföra den."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Det finns inget att frukta."
"traveler:SECRET_POLICE_FINAL","Work hard.","Jobba hårt."
"traveler:JORJI_BASE","All right! You the best!","Okej! Du är bäst!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstotzka är bäst!"
"traveler:JORJI_BASE","Here, take this!","Här, ta detta!"
"traveler:JORJI0","Ok! Here we go!","OK! Nu vi kör!"
"traveler:JORJI0","Glory to Arstotzka!","Ära till Arstotzka!"
"traveler:JORJI0","The greatest country!","Det bästa land!"
"traveler:JORJI0","@Where is your passport?","@Var är ditt pass?"
"traveler:JORJI0","Passport!","Pass!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstotzka så bra, pass inte behövs."
"traveler:JORJI0","Right?","Precis?"
"traveler:JORJI0","@A passport is required.","@Ett pass krävs."
"traveler:JORJI0","Ok, ok. I hear you.","Ok, ok. Jag fattar."
"traveler:JORJI0","I come back again.","Jag kommer tillbaka!"
"traveler:JORJI1","Ok! Hello again!","Ok! Hallå igen!"
"traveler:JORJI1","Now I have passport!","Nu jag har pass!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstotzka fortfarande bästa land!"
"traveler:JORJI1","@This passport is crude fake.","@Detta pass är klumpigt förfalskat."
"traveler:JORJI1","Hey now! Is not true!","Nä du! Är inte sant!"
"traveler:JORJI1","Is pre-approved!","Är för-godkänt!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@ Cobrastan är inget riktigt land."
"traveler:JORJI1","Ok, ok.","Ok, ok."
"traveler:JORJI1","You no like passport, I understand.","Du inte gillar pass, jag fattar."
"traveler:JORJI1","I come back again with better one.","Jag kommer tillbaka med bättre."
"traveler:JORJI2","Old friend hello!","Gammal vän hallå!"
"traveler:JORJI2","I am back again!","Jag är tillbaka!"
"traveler:JORJI2","This time everything set.","Denna gång allt klart."
"traveler:JORJI2","@You are missing an entry permit.","@Du saknar ett inträdestillstånd."
"traveler:JORJI2","Oh man you funny guy!","Du är rolig kille!"
"traveler:JORJI2","@An entry permit is required.","@Ett inträdestillstånd krävs."
"traveler:JORJI2","Wow, you run very strict border here.","Wow, du kör mycket strikt gräns här."
"traveler:JORJI2","That is good. Do job right.","Det är bra. Gör jobb rätt."
"traveler:JORJI2","I look for entry thing and come back.","Jag letar inträdessak om kommer tillbaka."
"traveler:JORJI3","Hey it is me!","Hej det är jag!"
"traveler:JORJI3","Are you happy to see?","Är du glad att se?"
"traveler:JORJI3","I have everything you ask for now.","Jag har allt du vill ha nu."
"traveler:JORJI3","@Tickets are no longer accepted.","@Biljetter accepteras inte längre."
"traveler:JORJI3","Hey no!","Nä du!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Kille sålde mig biljett. Sa den är bra!"
"traveler:JORJI3","You check again maybe.","Du kolla igen kanske."
"traveler:JORJI3","@Do not come back again.","@Kom inte tillbaka."
"traveler:JORJI3","Haha!","Haha!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Du bra kille men jag har ärende i Arstotzka."
"traveler:JORJI3","I get right papers and come see you.","Jag skaffa rätt papper och kommer till dig."
"traveler:JORJI4","Hello my guy!","Hej killen!"
"traveler:JORJI4","Ok. Today is day!","Ok. Idag är dag!"
"traveler:JORJI4","Look at all good papers.","Kolla alla papper."
"traveler:JORJI4","Was not easy.","Var inte lätt."
"traveler:JORJI4","Or cheap! Haha!","Eller billig! Haha!"
"traveler:JORJI4","@I told you not to come back.","@Jag bad dig att inte komma tillbaka."
"traveler:JORJI4","This is crap.","Detta är skit."
"traveler:JORJI4","You know what? Forget it.","Vet du vad? Glöm det."
"traveler:JORJI4","Arstotzka worst country.","Arstotzka sämsta land."
"traveler:JORJI4","You worst person.","Du sämsta person."
"traveler:JORJI4","Thank you so much!","Tack så mycket!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","Om jag är ärlig till dig, jag var lite nervös."
"traveler:JORJI4","Even with right papers is hard to say.","Även med rätt papper man vet inte."
"traveler:JORJI4","Ok bye!","Ok hej då!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Igen jag är här!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Allting klart denna gång."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Jag kommer ofta för att träffa dig."
"traveler:JORJI_SMUGGLE0","We become good friends!","Vi blir goda vänner!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Din vikt stämmer inte."
"traveler:JORJI_SMUGGLE0","Is sad story.","Är ledsen historia."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Min fru mycket dålig kock."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","Men om jag inte äter, hon blir arg."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Oj då, kanske du inte gilla detta!"
"traveler:JORJI_SMUGGLE0","@What is this?","@Vad är detta?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Är droger!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","Jag har liten sidoaffär här."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Du släpper mig igenom jag ger dig lite något."
"traveler:JORJI_SMUGGLE0","@Something what?","@Lite vad?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Tio krediter."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Jag ger dig tio krediter för bara liten stämpel."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Vänta här Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Är ok, jag förstår."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Droger dåligt. Inte bra för barn."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Du fortfarande gör bra jobb här."
"traveler:JORJI_SMUGGLE0","Ok!","Ok!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Vi kör full fart!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Vad är problem?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Jag litar inte på dig."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Ok, ok."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Du bra kille så nästa gång du litar på mig."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Ok, jag är tillbaka!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Samma procedur!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Dom sa detta hårt yrke."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","Så länge allt smidigt som is!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Tack till dig!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Köp nåt lycklig till fru."
"traveler:JORJI_SMUGGLE1","Phew!","Puh!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Var tufft. Tur för mig, vakt var enkel."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Han frågar efter stora pengar men är förnuftig man."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Kom igen, igen!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","Den vakten har en till bra dag."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Inte säker jag kan fortsätta med inga affärer!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Ok, vi försöka igen!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Ursäkta jag stör, men detta mitt enda jobb."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Vänta här, Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Är ok, jag förstår"
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Droger dåligt. Inte bra för barn."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Du fortfarande gör bra jobb här."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Jag ser en skillnad här."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Är riktigt mysterium!"
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Kanske det blir för sexigt här inne."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Droger?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Ser ut som bra grejer va?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Vänta! Jag ger 10 krediter för ok stämpel!"
"traveler:JORJI_SMUGGLE1","Think about family!","Tänk på familj!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Dom kan köpa många lyckliga saker för krediter."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Bara för lite harmlösa droger!"
"traveler:JORJI_SMUGGLE1","This much better, see?","Detta mycket bättre, du vet?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Wow, du verkligen stand-up kille."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Kanske inte är bra för mig när jag tänker."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Är kul att se dig igen!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Idag jag kommer bara för kort besök."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","Allt är definitivt ok med mig."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Helt säkert jag är inte i brottslingbulletin eller något!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Ditt ansikte är i eftersöktabulletin."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Va! Jag betalar polis som galet!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Dom lova ingen bulletin. Allt klart dom sa."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Jag tänker efter när lita på vänlig folk."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Jag tycker om dig mycket."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Jag vet är riskabel att hjälpa mig som detta."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Jag försöker göra det gott för dig."
"traveler:JORJI_CRIMINAL","Ah, is ok.","Ah, är ok."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","Åtminstone du inte arresterar mig."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Tack ändå."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Jag är ledsen Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","Ah, är ok. Mesta polisen känner mig nu."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Jag har litet snack med dom igen."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","I alla fall, du har tufft jobb."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Jag hellre säljer droger!"
"traveler:JORJI_PASSPORTS","I read newspaper.","Jag läser nyheter."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Hallå Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Saker blir lite galet i Arstotzka."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Kanske du tänker på att gå iväg för ett tag."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristan är bra ställe."
"traveler:JORJI_PASSPORTS","Right next door up north.","Precis granne i norr."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Våra pass har konfiskerats."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Vi kan inte lämna."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Oj det inte bra tecken."
"traveler:JORJI_PASSPORTS","Hold on.","Vänta lite."
"traveler:JORJI_PASSPORTS","I know a guy.","Jag vet en kille."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Bara ge honom riktigt pass att jobba med."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Han ändrar info för att stämma för dig."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Jag lärde mig det på svåra sätt."
"traveler:JORJI_PASSPORTS","Thanks again!","Tack igen!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Äh! Kanske du har rätt."
"traveler:JORJI_PASSPORTS","Better to take little break.","Bättre ta liten rast."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Nej vad fan?"
"traveler:JORJI_PASSPORTS","You take my passport!","Du tar mitt pass!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Du kan se det var dyrt!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Du sa att jag behöver riktiga Obristan-pass."
"traveler:JORJI_PASSPORTS","Man. Fine.","Ok. Visst."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Jag skaffar annat men lite olycklig."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Kom ihåg flygblad och ge tillbaka."
"traveler:JORJI_PASSPORTS","Hey you know what.","Vet du vad..."
"traveler:JORJI_PASSPORTS","Take my passport.","Ta mitt pass."
"traveler:JORJI_PASSPORTS","I get another one no problem.","Jag skaffar annat inga problem."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Nu kom ihåg flygblad och ge tillbaka om du läst klar."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Vill inte hamna i trubbel!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristan väldigt bra denna tiden på år."
"traveler:JORJI_PASSPORTS","Lots of snow.","Mycket snö."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Vet inte var du får mer pass för familj."
"traveler:JORJI_PASSPORTS","But you smart guy.","Men du smart kille."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Du lista ut det!"
"traveler:JORJI_PASSPORTS","Good luck.","Lycka till."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Nu du! Jag gjort stort kap!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Enorm! Du har ingen aning!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","I alla fall. Jag bara vill säga tack."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Jag väntar i kö bara för det!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Kanske jag slutar nu."
"traveler:JORJI_GOODBYE","Haha!","Haha!"
"traveler:BROTHEL0","Hello handsome.","Hello handsome."
"traveler:BROTHEL0","You look bored.","You look bored."
"traveler:BROTHEL0","If you want good time, come see us.","If you want good time, come see us."
"traveler:BROTHEL0","I will be around couple months.","I will be around couple months."
"traveler:BROTHEL0","Don't forget to visit.","Don't forget to visit."
"traveler:BROTHEL1","Hey there.","Hey there."
"traveler:BROTHEL1","I can make you happy any time.","I can make you happy any time."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Come to Pink Vice. Ask for Ava."
"traveler:BROTHEL2","Oh. Here.","Oh. Here."
"traveler:BROTHEL2","Please help me.","Please help me."
"traveler:BROTHEL3","Hello friend.","Hello friend."
"traveler:BROTHEL3","You come down, I give you good girl.","You come down, I give you good girl."
"traveler:BROTHEL3","That little bitch.","That little bitch."
"traveler:BROTHEL3","I break her in two.","I break her in two."
"traveler:BROTHEL3","@You are Dari Ludum?","@You are Dari Ludum?"
"traveler:BROTHEL3","Of course, it says on passport.","Of course, it says on passport."
"traveler:BROTHEL3","@One moment.","@One moment."
"traveler:BROTHEL3","What is this shit?","What is this shit?"
"traveler:BROTHEL3","Give my papers back.","Give my papers back."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@You are Vince Lestrade?"
"traveler:KILLERATHLETE","Damn.","Damn."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Look, I did not kill her. I was set up."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Do not believe the Republian lies."
"traveler:KILLERATHLETE","Let me through.","Let me through."
"traveler:KILLERATHLETE","Shit.","Shit."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Today is beautiful day, my friend."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","We finally become free from Antegrian tyranny!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Thank you so much!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Please be kind to my wife, she is just after me."
"traveler:HUSBAND_WIFE0","No! They will kill us!","No! They will kill us!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Let my wife pass. She is coming to you next."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Did you see my husband?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","He made it through, yes?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Where is your entry permit?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Please, I beg you."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","They would not give me permit. I have no choice."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","I will be killed if I return to Antegria."
"traveler:HUSBAND_WIFE1","Thank you.","Thank you."
"traveler:HUSBAND_WIFE1","We will not forget.","We will not forget."
"traveler:HUSBAND_WIFE1","Why?","Why?"
"traveler:HUSBAND_WIFE1","You have doomed me.","You have doomed me."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Why did you turn my husband away?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","I will not leave him to die."
"traveler:HUSBAND_WIFE1","You have doomed us both.","You have doomed us both."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","You see many people, yes?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","I am looking for engineers."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Do me a favor."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Give my card to any engineers you meet."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","I come back in few days."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Pay you 5 credits for each engineer that calls me."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","You make a mistake but I let you fix it."
"traveler:HIRING_ENGINEERS","What is this?","What is this?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Oh. Huh. ; Huh. ; They are hiring?"
"traveler:HIRING_ENGINEERS","I have already.","I have already."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Stop giving to me."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Forget it, take them both. I don't want."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Is good card, yes? ; Thanks ; These were not cheap you know. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","I am back."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","How many engineers did you meet?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","I got no calls."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","You gave my cards to no one."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Thank you for nothing."
"traveler:HIRING_ENGINEERS_END","I get only one call.","I get only one call."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","I'm lucky that he is good lead."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Here is what I promised."
"traveler:HIRING_ENGINEERS_END","I got two calls.","I got two calls."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","One guy, he was good."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Other one not so much."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Thanks anyways."
"traveler:HIRING_ENGINEERS_END","I got three calls.","I got three calls."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Two guys were good."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Last one was a fool. Didn't know basics."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","But is ok. I appreciate."
"traveler:HIRING_ENGINEERS_END","I got four calls.","I got four calls."
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","Three were civil engineers. Useless."
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","I need mechanicals. I told you."
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","Anyway, is ok. Last guy very sharp."
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","Thanks for the help."
"traveler:FRIENDLY_GUARD0","Hello.","Hello."
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","I heard that you are from Nirsk?"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","I grew up there but I have not been back in many years."
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@It is still a shit-hole. As before."
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","Haha, of course. This is what I remember too."
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","I am Sergiu. It is good to meet you."
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","I will do my best to keep you safe."
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","Thank you for yesterday."
"traveler:FRIENDLY_GUARD1","My aim is not like before.","My aim is not like before."
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","There is more action at this checkpoint than in the war."
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","I fought in Kolechia for 5 years."
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","If you think it is bad in Arstotzka, it is ten times worse in Kolechia."
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","I do not blame them for coming here."
